x1,x2,x3,x10,x12,x13,x15,x16,x18,x19,x20,x24,x26,x27,x28,x29,x36,x39,x40,x41,y
128,69,0,0,0,52,30,77,32,13,57,10,7,0.86,374,38,8,0,0,5,0
0,4,0,0,0,18,12,7,0,3,0,0,1,0,157,14,0,0,0,4,0
104,117,9,0,0,40,24,34,44,21,7,17,6,1,45,16,5,0,0,2,0
1,2,1,0,0,0,0,0,0,4,0,0,1,0,137,1,1,0,0,2,0
88,47,3,0,0,44,16,33,27,5,6,5,6,1,31,14,5,0,0,5,0
39,38,9,0,0,0,57,22,2,16,10,3,4,1.5,46,46,3,0,0,5,0
6,16,4,0,0,0,0,0,0,5,0,1,2,0.5,161,7,0,0,0,4,0
151,127,12,0,0,66,30,61,73,14,7,16,5,0.8,43,44,5,0,0,2,0
48,5,2,0,0,25,25,34,12,3,1,6,1,0,167,89,3,0,0,2,0
91,65,1,0,0,51,22,33,26,2,15,4,6,1,378,25,4,0,0,6,0
41,64,7,0,0,5,4,6,20,12,11,2,5,1.2,36,14,3,0,0,5,0
8,13,5,0,0,0,0,0,1,2,22,0,4,1.25,40,1,2,0,0,2,0
75,112,9,0,0,0,0,0,3,21,46,2,7,0.86,11,35,5,0,0,3,0
96,81,18,0,0,43,25,97,21,5,14,18,7,1,18,23,5,0,0,6,0
146,104,19,0,135,51,38,61,28,36,44,14,7,0.86,24,38,10,0,0,4,0
3,5,1,0,0,0,0,0,3,0,1,0,3,1.33,84,3,0,0,0,5,0
223,166,17,0,1,243,82,78,92,68,70,20,7,0.86,368,216,8,0,0,4,0
3,6,0,0,0,0,0,0,0,0,2,0,1,0,148,1,0,0,0,3,0
50,76,12,0,0,9,4,2,23,16,2,0,3,1,375,38,3,0,0,5,0
32,16,1,0,0,19,7,19,6,1,1,2,4,1.25,44,9,2,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,3,1,108,2,0,0,0,5,0
5,8,2,0,0,0,0,0,0,0,3,0,2,0.5,166,1,0,0,0,3,0
84,65,17,0,0,13,68,53,6,12,11,10,7,1,21,40,6,0,0,5,0
34,18,0,0,0,17,27,31,1,0,5,1,2,0.5,138,31,4,0,0,5,0
14,27,5,0,0,0,0,0,5,9,5,0,2,1,189,20,0,0,0,4,0
99,86,0,0,235,54,38,73,8,7,61,0,6,0.83,168,34,4,0,0,4,0
87,60,13,0,0,45,109,34,1,9,12,12,7,0.86,39,20,4,0,0,2,0
